id,sncl_id,metric_id,value,starttime,endtime,datasrc_id,created_at
"12778297","449","93","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778298","449","94","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778299","449","95","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778300","449","96","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778301","449","98","3.15570840355e-05","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778302","449","97","7.49583034063e-07","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778303","449","81","3347","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778304","449","82","-1185.91194044","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778305","449","83","268.633997047","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778306","449","84","-2744","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778307","449","85","603","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778308","449","79","1802.53","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778309","449","80","1802.53","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778310","449","77","50.0008321775","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778311","449","78","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778312","449","105","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778313","449","106","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778314","449","107","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778315","449","108","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12783148","3046","99","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783149","3046","100","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783150","3046","101","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783151","3046","102","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783152","3046","103","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
